,geo,text,name,location,hashtags,source,followers_count,friends_count,created_at,verification_status,entities,sentiment
0,, STOP SAYING THIS IS THE 2ND WAVE OF COVID. You can’t have a second wave if you never came down off the first one. None of…,kaybirth,,[],Twitter for iPhone,742,243,2020-07-12 17:39:13,False,"[('2ND', 'DATE'), ('second', 'ORDINAL'), ('first', 'ORDINAL')]","{'neg': 0.109, 'neu': 0.891, 'pos': 0.0, 'compound': -0.4466}"
1,," 🚨BREAKING: #Florida reports a staggering 15,300 new #coronavirus cases, shattering the single-day record of any state—pr…",monetmontague,"New York, NY","['Florida', 'coronavirus']",Twitter for iPhone,534,252,2020-07-12 17:39:10,False,"[('Florida', 'GPE'), ('15,300', 'CARDINAL'), ('the single-day', 'DATE')]","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2,, ‼️37-year-old #Ohio veteran—who posted a widely shared anti-#mask screed on Facebook—tested positive for #COVID19 on Jul…,lynnsations,,"['Ohio', 'mask', 'COVID19']",Twitter for iPad,110,298,2020-07-12 17:39:09,False,"[('Ohio', 'GPE'), ('Facebook', 'ORG'), ('Jul', 'ORG')]","{'neg': 0.0, 'neu': 0.684, 'pos': 0.316, 'compound': 0.7184}"
3,,  mask is 1 step. Want to try to muster more votes? #LetFauciLead to finally control this #coronavirus. To seek his expert guidance would be a positive for u. Wish you’d understand he is not in competition w u. His focus: humanitarian wellbeing.  #sundayvibes,AMouseRoars,,"['LetFauciLead', 'coronavirus', 'sundayvibes']",Twitter for iPhone,5,60,2020-07-12 17:39:09,False,"[('1', 'CARDINAL'), '', ('Wish', 'PERSON')]","{'neg': 0.0, 'neu': 0.83, 'pos': 0.17, 'compound': 0.765}"
4,," ⚠️As students have returned to campus, officials have been warning about an alarming spike in #COVID19 cases related to…",ander_the_table,,['COVID19'],Twitter for iPhone,638,4444,2020-07-12 17:39:09,False,"[('️As', 'CARDINAL'), ('COVID19', 'GPE')]","{'neg': 0.187, 'neu': 0.813, 'pos': 0.0, 'compound': -0.4404}"
5,,#Trump home state. #DeathSantis is his Governor #COVID19 #coronavirus #CoronavirusPandemic #Coronavirusflorida #COVIDIOTS #WearYourMaskFL ,gibby0816,"Florida, USA","['Trump', 'DeathSantis', 'COVID19', 'coronavirus', 'CoronavirusPandemic', 'Coronavirusflorida', 'COVIDIOTS', 'WearYourMaskFL']",Twitter for Android,359,177,2020-07-12 17:39:08,False,"['', ('Trump', 'ORG'), '', ('DeathSantis', 'ORG'), '', '']","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
6,, Coronavirus: Why everyone was wrong--The immune response to the virus is stronger than everyone thought,this_danish,"Yeah, right.",[],Twitter for Android,88,172,2020-07-12 17:39:08,False,"[('Coronavirus', 'PERSON')]","{'neg': 0.0, 'neu': 0.73, 'pos': 0.27, 'compound': 0.5859}"
7,, Homemade pastry.Corona makes me bake sweets.#SundayMotivation #coronavirus ,saqibf,"Karachi, Pakistan","['SundayMotivation', 'coronavirus']",Twitter for Android,34363,34530,2020-07-12 17:39:08,False,"[('Homemade', 'PERSON'), ('Corona', 'PERSON'), '']","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
8,, #Chinagovernment#IrangovernmentNations have been paying for their governments for thousands of years!To quarantine th…,Artemiss1990,#persia,"['Chinagovernment', 'Irangovernment']",Twitter for Android,400,475,2020-07-12 17:39:08,False,"[('thousands', 'CARDINAL')]","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
9,, How #coronavirus affects the entire body Wale up Canada #WearAMask ,wholecloth,,"['coronavirus', 'WearAMask']",Twitter for iPad,699,440,2020-07-12 17:39:07,False,"[('Wale up', 'ORG'), ('Canada', 'GPE')]","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
10,,"His 276th visit to a golf course in his 1,270 days as president–more than 1 in every 5 days  #TrumpGolfsAmericansDie #coronavirus #COVID #Covid_19",Icingdeathe,Ethereally here...,"['TrumpGolfsAmericansDie', 'coronavirus', 'COVID', 'Covid_19']",Twitter Web App,1066,2255,2020-07-12 17:39:07,False,"[('his 1,270 days', 'DATE'), ('more than 1', 'CARDINAL'), ('every 5 days', 'DATE'), '', ('COVID', 'ORG')]","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
11,," So it looks like the GOP's strategy to use the #coronavirus pandemic as a holocaust against POCs, old folks, disabled f…",alisonserene,"Fort Collins, Colorado",['coronavirus'],Twitter for iPhone,219,703,2020-07-12 17:39:06,False,"[('GOP', 'ORG'), '']","{'neg': 0.0, 'neu': 0.873, 'pos': 0.127, 'compound': 0.4144}"
12,," Florida has had a record-breaking week leading to the all-time surge in cases. The state reported 514 fatalities last week, averaging 73 deaths per day. Three weeks ago, the daily average was 30 deaths.#coronavirus #HerdImmunity",bigpaulfla,USA,"['coronavirus', 'HerdImmunity']",Twitter for iPhone,199,621,2020-07-12 17:39:06,False,"[('Florida', 'GPE'), ('week', 'DATE'), ('514', 'CARDINAL'), ('last week', 'DATE'), ('73', 'CARDINAL'), ('Three weeks ago', 'DATE'), ('30', 'CARDINAL')]","{'neg': 0.106, 'neu': 0.894, 'pos': 0.0, 'compound': -0.5994}"
13,," . is releasing 8,000 inmates due to #coronavirus fears! 🤬 I’m fed up with his “leadership.” I’m seriously cons…",KsPatriotMadre,love'ѕ тнe only нoυѕe вιg enυғ,['coronavirus'],Twitter for Android,3654,5001,2020-07-12 17:39:06,False,"[('8,000', 'CARDINAL'), '']","{'neg': 0.242, 'neu': 0.758, 'pos': 0.0, 'compound': -0.5848}"
14,," 'When I was asked to support IT for the , I didn’t hesitate.' Find out how  Chief Information…",Scott1984FP,"Bedford, Bedfordshire, Uk,",[],Twitter for Android,2737,5001,2020-07-12 17:39:05,False,[],"{'neg': 0.0, 'neu': 0.838, 'pos': 0.162, 'compound': 0.4019}"
15,," More than 69,800 people have died of the novel #coronavirus in 342 cities checkered across all of Iran's 31 provinces, ac…",besoyepirozi,"Arhus, Denmark",['coronavirus'],Twitter for iPhone,1425,169,2020-07-12 17:39:05,False,"[('More than 69,800', 'CARDINAL'), ('342', 'CARDINAL'), ('Iran', 'GPE'), ('31', 'CARDINAL')]","{'neg': 0.145, 'neu': 0.763, 'pos': 0.092, 'compound': -0.3182}"
